,Unnamed: 0,pop,deaths,edu,employ,strat,income,religion,depression
41,TN,6651194,18.1,26.1,4.7,5,47818,0.73,5
40,SD,865454,5.0,27.8,3.0,1,53746,0.59,4
1,AK,741894,12.5,29.0,6.9,4,76440,0.45,3
11,ID,1683140,7.4,26.8,3.8,4,48728,0.51,5
6,CT,3576452,24.5,38.4,5.1,2,73433,0.43,5
20,MA,6811779,29.7,42.1,3.9,1,71146,0.33,5
37,PA,12784227,18.5,30.1,5.4,3,56207,0.53,4
34,OH,11614373,32.9,27.2,5.0,4,51610,0.58,4
5,CO,5540545,9.5,39.4,3.2,2,65685,0.47,3
49,WY,585501,8.7,26.7,5.3,2,60570,0.54,3
8,FL,20612439,14.4,28.5,4.8,3,50860,0.54,4
45,VA,8411808,13.5,37.6,4.1,2,66916,0.61,4
7,DE,952065,16.9,31.0,4.5,5,61757,0.52,5
26,NE,1907116,2.4,30.6,3.1,1,55474,0.54,4
30,NM,2081015,17.5,26.9,6.6,2,45710,0.57,4
21,MI,9928300,18.5,28.1,5.0,5,51584,0.53,5
25,MT,1042520,4.2,30.7,4.1,4,49924,0.48,5
29,NJ,8944469,16.0,38.1,5.0,2,73242,0.55,4
10,HI,1428557,5.2,32.0,3.0,1,74451,0.47,2
23,MS,2988726,6.2,21.3,5.8,3,40910,0.77,4
43,UT,3051217,16.4,32.5,3.4,2,63794,0.64,6
35,OK,3923561,11.6,24.8,4.8,5,49062,0.66,5
17,LA,4681666,7.7,23.4,6.1,3,46106,0.71,5
24,MO,6093000,15.9,28.2,4.6,4,50642,0.6,5
13,IN,6633053,12.6,25.3,4.4,5,50896,0.54,4
9,GA,10310371,8.8,29.9,5.4,3,51753,0.66,4
38,RI,1056426,26.7,33.0,5.2,1,58826,0.49,6
47,WV,1831102,43.4,19.9,6.1,5,42620,0.69,5
28,NH,1334795,35.8,36.0,2.9,5,70813,0.33,5
12,IL,12801539,15.3,33.4,5.8,3,60094,0.51,4
39,SC,4961119,13.1,27.0,5.0,4,47790,0.7,4
46,WA,7288000,9.4,34.5,5.3,3,64764,0.45,5
48,WI,5778708,15.8,29.0,4.0,2,56115,0.45,4
22,MN,5519952,7.4,34.8,3.9,1,64188,0.49,6
16,KY,4436974,23.6,23.2,5.1,5,45541,0.63,5
31,NY,19745289,15.1,35.3,4.9,1,61311,0.46,4
2,AZ,6931071,11.4,28.4,5.4,4,53558,0.53,3
36,OR,4093465,7.6,32.3,4.8,4,54748,0.48,5
33,ND,757952,7.6,28.9,3.1,1,60944,0.53,5
18,ME,1331479,25.2,30.3,3.8,3,52111,0.34,6
